Sentence,Broken,Class 
"The outstretched planes of the Cross swept up as though in torment.",outstretched planes cross swept torment, 
"For an instant its fires flared and licked through the clinging blackness; it writhed half upright, threw itself forward, crashed down prostrate upon the enigmatic tablet which only its tentacles could manipulate.",instant fires flared licked clinging blackness writhed half upright threw forward crashed prostrate enigmatic tablet tentacles manipulate, 
From Norhala's face the triumph fled.,norhala face triumph fled, 
"On its heels rushed stark, incredulous horror.",heels rushed stark incredulous horror, 
The Mount of Cones shuddered.,mount cones shuddered, 
"From it came a single mighty throb of force--like a prodigious heart-beat.",single mighty throb force prodigious heart-beat, 
"Under that pulse of power the Emperor staggered, spun--and spinning, swept Norhala from her feet, swung her close to its flashing rose.",pulse power emperor staggered spun spinning swept norhala feet swung close flashing rose, 
"A second throb pulsed from the cones, and mightier.",second throb pulsed cones mightier, 
A spasm shook the Disk--a paroxysm.,spasm shook disk paroxysm, 
"Its fires faded; they flared out again, bathing the floating, unearthly figure of Norhala with their iridescences.",fires faded flared bathing floating unearthly figure norhala iridescences, 
"I saw her body writhe--as though it shared the agony of the Shape that held her.",body writhe shared agony shape held, 
"Her head twisted; the great eyes, pools of uncomprehending, unbelieving horror, stared into mine.",head twisted great eyes pools uncomprehending unbelieving horror stared mine, 
"With a spasmodic, infinitely dreadful movement the Disk closed--  And closed upon her!",spasmodic infinitely dreadful movement disk closed closed, 
Norhala was gone--was shut within it.,norhala gone shut, 
"Crushed to the pent fires of its crystal heart.",crushed pent fires crystal heart, 
"I heard a sobbing, agonized choking--knew it was I who sobbed.",heard sobbing agonized choking knew sobbed, 
"Against me I felt Ruth's body strike, bend in convulsive arc, drop inert.",felt ruth body strike bend convulsive arc drop inert, 
"The slender steeple of the cones drooped sending its faceted coronet shattering to the floor.",slender steeple cones drooped sending faceted coronet shattering floor, 
The Mount melted.,mount melted, 
"Beneath the flooding radiance sprawled Keeper and the great inert Globe that was the Goddess woman's sepulcher.",beneath flooding radiance sprawled keeper great inert globe goddess woman sepulcher, 
The crater filled with the pallid luminescence.,crater filled pallid luminescence, 
"Faster and ever faster it poured down into the Pit.",faster ever faster poured pit, 
"And from all the lesser craters of the smaller cones swept silent cataracts of the same pale radiance.",lesser craters smaller cones swept silent cataracts pale radiance, 
The City began to crumble--the Monster to fall.,city began crumble monster fall, 
"Like pent-up waters rushing through a broken dam the gleaming deluge swept over the valley; gushing in steady torrents from the breaking mass.",pent-up waters rushing broken dam gleaming deluge swept valley gushing steady torrents breaking mass, 
"Over the valley fell a vast silence.",valley fell vast silence, 
The lightnings ceased.,lightnings ceased, 
"The Metal Hordes stood rigid, the shining flood lapping at their bases, rising swiftly ever higher.",metal hordes stood rigid shining flood lapping bases rising swiftly ever higher, 
"Now from the sinking City swarmed multitudes of its weird luminaries.",sinking city swarmed multitudes weird luminaries, 
"Out they trooped, swirling from every rent and gap-- orbs scarlet and sapphire, ruby orbs, orbs tuliped and irised --the jocund suns of the birth chamber and side by side with them hosts of the frozen, pale gilt, stiff rayed suns.",trooped swirling every rent gap orbs scarlet sapphire ruby orbs orbs tuliped irised jocund suns birth chamber side side hosts frozen pale gilt stiff rayed suns, 
"Thousands upon thousands they marched forth and poised themselves solemnly over all the Pit that now was a fast rising lake of yellow froth of sun flame.",thousands thousands marched forth poised solemnly pit fast rising lake yellow froth sun flame, 
"They swept forth in squadrons, in companies, in regiments, those mysterious orbs.",swept forth squadrons companies regiments mysterious orbs, 
"They floated over all the valley; they separated and swung motionless above it as though they were mysterious multiple souls of fire brooding over the dying shell that had held them.",floated valley separated swung motionless mysterious multiple souls fire brooding dying shell held, 
"Beneath, thrusting up from the lambent lake like grotesque towers of some drowned fantastic metropolis, the great Shapes stood, black against its glowing.",beneath thrusting lambent lake grotesque towers drowned fantastic metropolis great shapes stood black glowing, 
"What had been the City--that which had been the bulk of the Monster--was now only a vast and shapeless hill from which streamed the silent torrents of that released, unknown force which, concentrate and bound, had been the cones.",city bulk monster vast shapeless hill streamed silent torrents released unknown force concentrate bound cones, 
"As though it was the Monster's shining life-blood it poured, raising ever higher in its swift flooding the level radiant lake.",monster shining life-blood poured raising ever higher swift flooding level radiant lake, 
"Lower and lower sank the immense bulk; squattered and spread, ever lowering--about its helpless, patient crouching something ineffably piteous, something indescribably, COSMICALLY tragic.",lower lower sank immense bulk squattered spread ever lowering helpless patient crouching something ineffably piteous something indescribably cosmically tragic, 
"Abruptly the watching orbs shook under a hail of sparkling atoms streaming down from the glittering sky; raining upon the lambent lake.",abruptly watching orbs shook hail sparkling atoms streaming glittering sky raining lambent lake, 
"So thick they fell that now the brooding luminaries were dim aureoles within them.",thick fell brooding luminaries dim aureoles, 
"From the Pit came a blinding, insupportable brilliancy.",pit blinding insupportable brilliancy, 
"From every rigid tower gleamed out jeweled fires; their clinging units opened into blazing star and disk and cross.",every rigid tower gleamed jeweled fires clinging units opened blazing star disk cross, 
"The City was a hill of living gems over which flowed torrents of pale molten gold.",city hill living gems flowed torrents pale molten gold, 
The Pit blazed.,pit blazed, 
"There followed an appalling tensity; a prodigious gathering of force; a panic stirring concentration of energy.",followed appalling tensity prodigious gathering force panic stirring concentration energy, 
"Thicker fell the clouds of sparkling atoms--higher rose the yellow flood.",thicker fell clouds sparkling atoms higher rose yellow flood, 
Ventnor cried out.,ventnor cried, 
"I could not hear him, but I read his purpose--and so did Drake.",hear read purpose drake, 
"Up on his broad shoulders he swung Ruth as though she had been a child.",broad shoulders swung ruth child, 
"Back through the throbbing veils we ran; passed out of them.",back throbbing veils ran passed, 
"""Back!""",back, 
shouted Ventnor.,shouted ventnor, 
"""Back as far as you can!""",back far, 
"On we raced; we reached the gateway of the cliffs; we dashed on and on--up the shining roadway toward the blue globe now a scant mile before us; ran sobbing, panting --ran, we knew, for our lives.",raced reached gateway cliffs dashed shining roadway toward blue globe scant mile ran sobbing panting ran knew lives, 
Out of the Pit came a sound--I cannot describe it!,pit sound describe, 
"An unutterably desolate, dreadful wail of despair, it shuddered past us like the groaning of a broken-hearted star--anguished and awesome.",unutterably desolate dreadful wail despair shuddered past groaning broken-hearted star anguished awesome, 
It died.,died, 
"There rushed upon us a sea of that incredible loneliness, that longing for extinction that had assailed us in the haunted hollow where first we had seen Norhala.",rushed sea incredible loneliness longing extinction assailed haunted hollow first seen norhala, 
"But its billows were resistless, invincible.",billows resistless invincible, 
"Beneath them we fell; were torn by desire for swift death.",beneath fell torn desire swift death, 
"Dimly, through fainting eyes, I saw a dazzling brilliancy fill the sky; heard with dying ears a chaotic, blasting roar.",dimly fainting eyes dazzling brilliancy fill sky heard dying ears chaotic blasting roar, 
"A wave of air thicker than water caught us up, hurled us hundreds of yards forward.",wave air thicker water caught hurled hundreds yards forward, 
"It dropped us; in its wake rushed another wave, withering, scorching.",dropped wake rushed another wave withering scorching, 
It raced over us.,raced, 
"Scorching though it was, within its heat was energizing, revivifying force; something that slew the deadly despair and fed the fading fires of life.",scorching heat energizing revivifying force something slew deadly despair fed fading fires life, 
I staggered to my feet; looked back.,staggered feet looked back, 
The veils were gone.,veils gone, 
"The precipice walled gateway they had curtained was filled with a Plutonic glare as though it opened into the incandescent heart of a volcano.",precipice walled gateway curtained filled plutonic glare opened incandescent heart volcano, 
"Ventnor clutched my shoulder, spun me around.",ventnor clutched shoulder spun around, 
"He pointed to the sapphire house, started to run to it.",pointed sapphire house started run, 
"Far ahead I saw Drake, the body of the girl clasped to his breast.",far ahead drake body girl clasped breast, 
"The heat became blasting, insupportable; my lungs burned.",heat became blasting insupportable lungs burned, 
"Over the sky above the canyon streaked a serpentine chain of lightnings.",sky canyon streaked serpentine chain lightnings, 
"A sudden cyclonic gust swept the cleft, whirling us like leaves toward the Pit.",sudden cyclonic gust swept cleft whirling leaves toward pit, 
"I threw myself upon my face, clutching at the smooth rock.",threw face clutching smooth rock, 
"A volley of thunder burst--but not the thunder of the Metal Monster or its Hordes; no, the bellowing of the levins of our own earth.",volley thunder burst thunder metal monster hordes bellowing levins earth, 
"And the wind was cold; it bathed the burning skin; laved the fevered lungs.",wind cold bathed burning skin laved fevered lungs, 
Again the sky was split by the lightnings.,sky split lightnings, 
"And roaring down from it in solid sheets came the rain.",roaring solid sheets rain, 
"From the Pit arose a hissing as though within it raged Babylonian Tiamat, Mother of Chaos, serpent dweller in the void; Midgard-snake of the ancient Norse holding in her coils the world.",pit arose hissing raged babylonian tiamat mother chaos serpent dweller void midgard-snake ancient norse holding coils world, 
"Buffeted by wind, beaten down by rain, clinging to each other like drowning men, Ventnor and I pushed on to the elfin globe.",buffeted wind beaten rain clinging drowning men ventnor pushed elfin globe, 
The light was dying fast.,light dying fast, 
"By it we saw Drake pass within the portal with his burden.",drake pass portal burden, 
"The light became embers; it went out; blackness clasped us.",light became embers went blackness clasped, 
"Guided by the lightnings, we beat our way to the door; passed through it.",guided lightnings beat way door passed, 
In the electric glare we saw Drake bending over Ruth.,electric glare drake bending ruth, 
"In it I saw a slide draw over the open portal through which shrieked the wind, streamed the rain.",slide draw open portal shrieked wind streamed rain, 
"As though its crystal panel was moved by unseen, gentle hands, the portal closed; the tempest shut out.",crystal panel moved unseen gentle hands portal closed tempest shut, 
"We dropped beside Ruth upon a pile of silken stuffs-- awed, marveling, trembling with pity and--thanksgiving.",dropped beside ruth pile silken stuffs awed marveling trembling pity thanksgiving, 
"For we knew--each of us knew with an absolute definiteness as we crouched there among the racing, dancing black and silver shadows with which the lightnings filled the blue globe--that the Metal Monster was dead.",knew knew absolute definiteness crouched among racing dancing black silver shadows lightnings filled blue globe metal monster dead, 
Slain by itself!,slain, 
"CHAPTER XXX  BURNED OUT  Ruth sighed and stirred.",chapter xxx burned ruth sighed stirred, 
"By the glare of the lightnings, now almost continuous, we saw that her rigidity, and in fact all the puzzling cataleptic symptoms, had disappeared.",glare lightnings almost continuous rigidity fact puzzling cataleptic symptoms disappeared, 
"Her limbs relaxed, her skin faintly flushed, she lay in deepest but natural slumber undisturbed by the incessant cannonading of the thunder under which the walls of the blue globe shuddered.",limbs relaxed skin faintly flushed lay deepest natural slumber undisturbed incessant cannonading thunder walls blue globe shuddered, 
"Ventnor passed through the curtains of the central hall; he returned with one of Norhala's cloaks; covered the girl with it.",ventnor passed curtains central hall returned one norhala cloaks covered girl, 
"An overwhelming sleepiness took possession of me, a weariness ineffable.",overwhelming sleepiness took possession weariness ineffable, 
"Nerve and brain and muscle suddenly relaxed, went slack and numb.",nerve brain muscle suddenly relaxed went slack numb, 
"Without a struggle I surrendered to an overpowering stupor and cradled deep in its heart ceased consciously to be.",without struggle surrendered overpowering stupor cradled deep heart ceased consciously, 
"When my eyes unclosed the chamber of the moonstone walls was filled with a silvery, crepuscular light.",eyes unclosed chamber moonstone walls filled silvery crepuscular light, 
"I heard the murmuring and laughing of running water, the play, I lazily realized, of the fountained pool.",heard murmuring laughing running water play lazily realized fountained pool, 
"I lay for whole minutes unthinking, luxuriating in the sense of tension gone and of security; lay steeped in the aftermath of complete rest.",lay whole minutes unthinking luxuriating sense tension gone security lay steeped aftermath complete rest, 
Memory flooded me.,memory flooded, 
"Quietly I sat up; Ruth still slept, breathing peacefully beneath the cloak, one white arm stretched over the shoulder of Drake--as though in her sleep she had drawn close to him.",quietly sat ruth still slept breathing peacefully beneath cloak one white arm stretched shoulder drake sleep drawn close, 
"At her feet lay Ventnor, as deep in slumber as they.",feet lay ventnor deep slumber, 
"I arose and tip-toed over to the closed door.",arose tip-toed closed door, 
"Searching, I found its key; a cupped indentation upon which I pressed.",searching found key cupped indentation pressed, 
"The crystalline panel slipped back; it was moved, I suppose, by some mechanism of counterbalances responding to the weight of the hand.",crystalline panel slipped back moved suppose mechanism counterbalances responding weight hand, 
"It must have been some vibration of the thunder which had loosed that mechanism and had closed the panel upon the heels of our entrance --so I thought--then seeing again in memory that uncanny, deliberate shutting was not at all convinced that it had been the thunder.",must vibration thunder loosed mechanism closed panel heels entrance thought seeing memory uncanny deliberate shutting convinced thunder, 
I looked out.,looked, 
"How many hours the sun had been up there was no means of knowing.",many hours sun means knowing, 
The sky was low and slaty gray; a fine rain was falling.,sky low slaty gray fine rain falling, 
I stepped out.,stepped, 
"The garden of Norhala was a wreckage of uprooted and splintered trees and torn masses of what had been blossoming verdure.",garden norhala wreckage uprooted splintered trees torn masses blossoming verdure, 
"The gateway of the precipices beyond which lay the Pit was hidden in the webs of the rain.",gateway precipices beyond lay pit hidden webs rain, 
"Long I gazed down the canyon--and longingly; striving to picture what the Pit now held; eager to read the riddles of the night.",long gazed canyon longingly striving picture pit held eager read riddles night, 
"There came from the valley no sound, no movement, no light.",valley sound movement light, 
"I reentered the blue globe and paused on the threshold --staring into the wide and wondering eyes of Ruth bolt upright in her silken bed with Norhala's cloak clutched to her chin like a suddenly awakened and startled child.",reentered blue globe paused threshold staring wide wondering eyes ruth bolt upright silken bed norhala cloak clutched chin suddenly awakened startled child, 
"As she glimpsed me she stretched out her hand.",glimpsed stretched hand, 
"Drake, wide awake on the instant, leaped to his feet, his hand jumping to his pistol.",drake wide awake instant leaped feet hand jumping pistol, 
"""Dick!""",dick, 
"called Ruth, her voice tremulous, sweet.",called ruth voice tremulous sweet, 
"He swung about, looked deep into the clear and fearless brown eyes in which--with leaping heart I realized it --was throned only that spirit which was Ruth's and Ruth's alone; Ruth's clear unshadowed eyes glad and shy and soft with love.",swung looked deep clear fearless brown eyes leaping heart realized throned spirit ruth ruth's alone ruth clear unshadowed eyes glad shy soft love, 
"""Dick!""",dick, 
"she whispered, and held soft arms out to him.",whispered held soft arms, 
The cloak fell from her.,cloak fell, 
He swung her up.,swung, 
Their lips met.,lips met, 
"Upon them, embraced, the wakening eyes of Ventnor dwelt; they filled with relief and joy, nor was there lacking in them a certain amusement.",embraced wakening eyes ventnor dwelt filled relief joy lacking certain amusement, 
"She drew from Drake's arms, pushed him from her, stood for a moment shakily, with covered eyes.",drew drake arms pushed stood moment shakily covered eyes, 
"""Ruth,"" called Ventnor softly.",ruth called ventnor softly, 
"""Oh!""",oh, 
she cried.,cried, 
"""Oh, Martin--I forgot--"" She ran to him, held him tight, face hidden in his breast.",oh martin forgot ran held tight face hidden breast, 
"His hand rested on the clustering brown curls, tenderly.",hand rested clustering brown curls tenderly, 
"""Martin.""",martin, 
She raised her face to him.,raised face, 
"""Martin, it's GONE!",martin gone, 
I'm--ME again!,'m, 
All ME!,, 
What happened?,happened, 
"Where's Norhala?""",norhala, 
I started.,started, 
Did she not know?,know, 
"Of course, lying bound as she had in the vanished veils, she could have seen nothing of the stupendous tragedy enacted beyond them --but had not Ventnor said that possessed by the inexplicable obsession evoked by the weird woman Ruth had seen with her eyes, thought with her mind?",course lying bound vanished veils seen nothing stupendous tragedy enacted beyond ventnor possessed inexplicable obsession evoked weird woman ruth seen eyes thought mind, 
"And had there not been evidence that in her body had been echoed the torments of Norhala's?",evidence body echoed torments norhala, 
Had she forgotten?,forgotten, 
"I started to speak--was checked by Ventnor's swift, warning glance.",started speak checked ventnor swift warning glance, 
"""She's--over in the Pit,"" he answered her quietly.",pit answered quietly, 
"""But do you remember nothing, little sister?""",remember nothing little sister, 
"""There's something in my mind that's been rubbed out,"" she replied.",something mind rubbed replied, 
"""I remember the City of Cherkis--and your torture, Martin--and my torture--""  Her face whitened; Ventnor's brow contracted anxiously.",remember city cherkis torture martin torture face whitened ventnor brow contracted anxiously, 
"I knew for what he watched--but Ruth's shamed face was all human; on it was no shadow nor trace of that alien soul which so few hours since had threatened us.",knew watched ruth shamed face human shadow trace alien soul hours since threatened, 
"""Yes,"" she nodded, ""I remember that.",yes nodded remember, 
"And I remember how Norhala repaid them.",remember norhala repaid, 
"I remember that I was glad, fiercely glad, and then I was tired--so tired.",remember glad fiercely glad tired tired, 
"And then--I come to the rubbed-out place,"" she ended perplexedly.",come rubbed-out place ended perplexedly, 
"Deliberately, almost banally had I not realized his purpose, he changed the subject.",deliberately almost banally realized purpose changed subject, 
He held her from him at arm's length.,held arm length, 
"""Ruth!""",ruth, 
"he exclaimed, half mockingly, half reprovingly.",exclaimed half mockingly half reprovingly, 
"""Don't you think your morning negligee is just a little scanty even for this Godforsaken corner of the earth?""",n't think morning negligee little scanty even godforsaken corner earth, 
"Lips parted in sheer astonishment, she looked at him.",lips parted sheer astonishment looked, 
"Then her eyes dropped to her bare feet, her dimpled knees.",eyes dropped bare feet dimpled knees, 
"She clasped her arms across her breasts; rosy red turned all her fair skin.",clasped arms across breasts rosy red turned fair skin, 
"""Oh!""",oh, 
she gasped.,gasped, 
"""Oh!""",oh, 
"And hid from Drake and me behind the tall figure of her brother.",hid drake behind tall figure brother, 
"I walked over to the pile of silken stuffs, took the cloak and tossed it to her.",walked pile silken stuffs took cloak tossed, 
Ventnor pointed to the saddlebags.,ventnor pointed saddlebags, 
"""You've another outfit there, Ruth,"" he said.",'ve another outfit ruth, 
"""We'll take a turn through the place.",'ll take turn place, 
Call us when you're ready.,call 're ready, 
"We'll get something to eat and go see what's happening--out there.""",we'll get something eat go see happening, 
She nodded.,nodded, 
"We passed through the curtains and out of the hall into the chamber that had been Norhala's.",passed curtains hall chamber norhala, 
"There we halted, Drake eyeing Martin with a certain embarrassment.",halted drake eyeing martin certain embarrassment, 
The older man thrust out his hand to him.,older man thrust hand, 
"""I knew it, Drake,"" he said.",knew drake, 
"""Ruth told me all about it when Cherkis had us.",ruth told cherkis, 
And I'm very glad.,'m glad, 
"It's time she was having a home of her own and not running around the lost places with me.",time home running around lost places, 
"I'll miss her--miss her damnably, of course.",'ll miss miss damnably course, 
"But I'm glad, boy--glad!""",'m glad boy glad, 
"There was a little silence while each looked deep into each other's hearts.",little silence looked deep hearts, 
Then Ventnor dropped Dick's hand.,ventnor dropped dick hand, 
"""And that's all of THAT,"" he said.",, 
"""The problem before us is--how are we going to get back home?""",problem going get back home, 
"""The--THING--is dead.""",thing dead, 
"I spoke from an absolute conviction that surprised me, based as it was upon no really tangible, known evidence.",spoke absolute conviction surprised based really tangible known evidence, 
"""I think so,"" he said.",think, 
"""No--I KNOW so.",know, 
"Yet even if we can pass over its body, how can we climb out of its lair?",yet even pass body climb lair, 
That slide down which we rode with Norhala is unclimbable.,slide rode norhala unclimbable, 
The walls are unscalable.,walls unscalable, 
"And there is that chasm--she-- spanned for us.",chasm spanned, 
How can we cross THAT?,cross, 
"The tunnel to the ruins was sealed.",tunnel ruins sealed, 
"There remains of possible roads the way through the forest to what was the City of Cherkis.",remains possible roads way forest city cherkis, 
Frankly I am loathe to take it.,frankly loathe take, 
"""I am not at all sure that all the armored men were slain--that some few may not have escaped and be lurking there.",sure armored men slain may escaped lurking, 
"It would be short shrift for us if we fell into their hands now.""",would short shrift fell hands, 
"""And I'm not sure of THAT,"" objected Drake.",'m sure objected drake, 
"""I think their pep and push must be pretty thoroughly knocked out --if any do remain.",think pep push must pretty thoroughly knocked remain, 
"I think if they saw us coming they'd beat it so fast that they'd smoke with the friction.""",think coming they'd beat fast 'd smoke friction, 
"""There's something to that,"" Ventnor smiled.",something ventnor smiled, 
"""Still I'm not keen on taking the chance.",still 'm keen taking chance, 
"At any rate, the first thing to do is to see what happened down there in the Pit.",rate first thing see happened pit, 
"Maybe we'll have some other idea after that.""",maybe 'll idea, 
"""I know what happened there,"" announced Drake, surprisingly.",know happened announced drake surprisingly, 
"""It was a short circuit!""",short circuit, 
"We gaped at him, mystified.",gaped mystified, 
"""Burned out!""",burned, 
said Drake.,drake, 
"""Every damned one of them --burned out.",every damned one burned, 
"What were they, after all?",, 
"A lot of living dynamos.",lot living dynamos, 
Dynamotors--rather.,dynamotors rather, 
"And all of a sudden they had too much juice turned on.",sudden much juice turned, 
"Bang went their insulations --whatever they were.",bang went insulations whatever, 
"""Bang went they.",bang went, 
Burned out--short circuited.,burned short circuited, 
"I don't pretend to know why or how.",don't pretend know, 
Nonsense!,nonsense, 
I do know.,know, 
"The cones were some kind of immensely concentrated force-- electric, magnetic; either or both or more.",cones kind immensely concentrated force electric magnetic either, 
"I myself believe that they were probably solid--in a way of speaking --coronium.",believe probably solid way speaking coronium, 
"""If about twenty of the greatest scientists the world has ever known are right, coronium is--well, call it curdled energy.",twenty greatest scientists world ever known right coronium well call curdled energy, 
"The electric potentiality of Niagara in a pin point of dust of yellow fire.",electric potentiality niagara pin point dust yellow fire, 
"All right--they or IT lost control.",right lost control, 
Every pin point swelled out into a Niagara.,every pin point swelled niagara, 
"And as it did so, it expanded from a controlled dust dot to an uncontrolled cataract--in other words, its energy was unleashed and undammed.",expanded controlled dust dot uncontrolled cataract words energy unleashed undammed, 
"""Very well--what followed?",well followed, 
What HAD to follow?,follow, 
"Every living battery of block and globe and spike was supercharged and went--blooey.",every living battery block globe spike supercharged went blooey, 
"The valley must have been some sweet little volcano while that short circuiting was going on.",valley must sweet little volcano short circuiting going, 
"All right--let's go down and see what it did to your unclimbable slide and unscalable walls, Ventnor.",right let go see unclimbable slide unscalable walls ventnor, 
"I'm not sure we won't be able to get out that way.""",'m sure wo n't able get way, 
"""Come on; everything's ready,"" Ruth was calling; her summoning blocked any objection we might have raised to Drake's argument.",come everything ready ruth calling summoning blocked objection might raised drake argument, 
"It was no dryad, no distressed pagan clad maid we saw as we passed back into the room of the pool.",dryad distressed pagan clad maid passed back room pool, 
"In knickerbockers and short skirt, prim and self-possessed, rebellious curls held severely in place by close-fitting cap and slender feet stoutly shod, Ruth hovered over the steaming kettle swung above the spirit lamp.",knickerbockers short skirt prim self-possessed rebellious curls held severely place close-fitting cap slender feet stoutly shod ruth hovered steaming kettle swung spirit lamp, 
And she was very silent as we hastily broke fast.,silent hastily broke fast, 
"Nor when we had finished did she go to Drake.",finished go drake, 
"She clung close to her brother and beside him as we set forth down the roadway, through the rain, toward the ledge between the cliffs where the veils had shimmered.",clung close brother beside set forth roadway rain toward ledge cliffs veils shimmered, 
"Hotter and hotter it grew as we advanced; the air steamed like a Turkish bath.",hotter hotter grew advanced air steamed turkish bath, 
"The mists clustered so thickly that at last we groped forward step by step, holding to each other.",mists clustered thickly last groped forward step step holding, 
"""No use,"" gasped Ventnor.",use gasped ventnor, 
"""We couldn't see.",n't see, 
"We'll have to turn back.""",'ll turn back, 
"""Burned out!""",burned, 
said Dick.,dick, 
"""Didn't I tell you?",n't tell, 
"The whole valley was a volcano.",whole valley volcano, 
"And with that deluge falling in it--why wouldn't there be a fog?",deluge falling would n't fog, 
"It's why there IS a fog.",fog, 
"We'll have to wait until it clears.""",'ll wait clears, 
We trudged back to the blue globe.,trudged back blue globe, 
All that day the rain fell.,day rain fell, 
"Throughout the few remaining hours of daylight we wandered over the house of Norhala, examining its most interesting contents, or sat theorizing, discussing all phases of the phenomena we had witnessed.",throughout remaining hours daylight wandered house norhala examining interesting contents sat theorizing discussing phases phenomena witnessed, 
"We told Ruth what had occurred after she had thrown in her lot with Norhala; and of the enigmatic struggle between the glorious Disk and the sullenly flaming Thing I have called the Keeper.",told ruth occurred thrown lot norhala enigmatic struggle glorious disk sullenly flaming thing called keeper, 
We told her of the entombment of Norhala.,told entombment norhala, 
When she heard that she wept.,heard wept, 
"""She was sweet,"" she sobbed; ""she was lovely.",sweet sobbed lovely, 
"And she was beautiful.",beautiful, 
Dearly she loved me.,dearly loved, 
I KNOW she loved me.,know loved, 
"Oh, I know that we and ours and that which was hers could not share the world together.",oh know share world together, 
"But it comes to me that Earth would have been far less poisonous with those that were Norhala's than it is with us and ours!""",comes earth would far less poisonous norhala, 
"Weeping, she passed through the curtainings, going we knew to Norhala's chamber.",weeping passed curtainings going knew norhala chamber, 
"It was a strange thing indeed that she had said, I thought, watching her go.",strange thing indeed thought watching go, 
"That the garden of the world would be far less poisonous blossoming with those Things of wedded crystal and metal and magnetic fires than fertile as now with us of flesh and blood and bone.",garden world would far less poisonous blossoming things wedded crystal metal magnetic fires fertile flesh blood bone, 
"To me came appreciations of their harmonies, and mingled with those perceptions were others of humanity--disharmonious, incoordinate, ever struggling, ever striving to destroy itself--  There was a plaintive whinnying at the open door.",appreciations harmonies mingled perceptions others humanity disharmonious incoordinate ever struggling ever striving destroy plaintive whinnying open door, 
"A long and hairy face, a pair of patient, inquiring eyes looked in.",long hairy face pair patient inquiring eyes looked, 
It was a pony.,pony, 
"For a moment it regarded us--and then trotted trustfully through; ambled up to us; poked its head against my side.",moment regarded trotted trustfully ambled poked head side, 
"It had been ridden by one of the Persians whom Ruth had killed, for under it, slipped from the girths, a saddle dangled.",ridden one persians ruth killed slipped girths saddle dangled, 
"And its owner must have been kind to it--we knew that from its lack of fear for us.",owner must kind knew lack fear, 
"Driven by the tempest of the night before, it had been led back by instinct to the protection of man.",driven tempest night led back instinct protection man, 
"""Some luck!""",luck, 
breathed Drake.,breathed drake, 
"He busied himself with the pony, stripping away the hanging saddle, grooming it.",busied pony stripping away hanging saddle grooming, 
"CHAPTER XXXI  SLAG!",chapter xxxi slag, 
That night we slept well.,night slept well, 
"Awakening, we found that the storm had grown violent again; the wind roaring and the rain falling in such volume that it was impossible to make our way to the Pit.",awakening found storm grown violent wind roaring rain falling volume impossible make way pit, 
"Twice, as a matter of fact, we tried; but the smooth roadway was a torrent, and, drenched even through our oils to the skin, we at last abandoned the attempt.",twice matter fact tried smooth roadway torrent drenched even oils skin last abandoned attempt, 
"Ruth and Drake drifted away together among the other chambers of the globe; they were absorbed in themselves, and we did not thrust ourselves upon them.",ruth drake drifted away together among chambers globe absorbed thrust, 
"All the day the torrents fell.",day torrents fell, 
"We sat down that night to what was well-nigh the last of Ventnor's stores.",sat night well-nigh last ventnor stores, 
"Seemingly Ruth had forgotten Norhala; at least, she spoke no more of her.",seemingly ruth forgotten norhala least spoke, 
"""Martin,"" she said, ""can't we start back tomorrow?",martin ca n't start back tomorrow, 
"I want to get away.",want get away, 
"I want to get back to our own world.""",want get back world, 
"""As soon as the storm ceases, Ruth,"" he answered, ""we start.",soon storm ceases ruth answered start, 
"Little sister--I too want you to get back quickly.""",little sister want get back quickly, 
The next morning the storm had gone.,next morning storm gone, 
"We awakened soon after dawn into clear and brilliant light.",awakened soon dawn clear brilliant light, 
"We had a silent and hurried breakfast.",silent hurried breakfast, 
"The saddlebags were packed and strapped upon the pony.",saddlebags packed strapped pony, 
"Within them were what we could carry of souvenirs from Norhala's home--a suit of lacquered armor, a pair of cloaks and sandals, the jeweled combs.",carry souvenirs norhala home suit lacquered armor pair cloaks sandals jeweled combs, 
"Ruth and Drake at the side of the pony, Ventnor and I leading, we set forth toward the Pit.",ruth drake side pony ventnor leading set forth toward pit, 
"""We'll probably have to come back, Walter,"" he said.",'ll probably come back walter, 
"""I don't believe the place is passable.""",n't believe place passable, 
"I pointed--we were then just over the threshold of the elfin globe.",pointed threshold elfin globe, 
"Where the veils had stretched between the perpendicular pillars of the cliffs was now a wide and ragged-edged opening.",veils stretched perpendicular pillars cliffs wide ragged-edged opening, 
"The roadway which had run so smoothly through the scarps was blocked by a thousand foot barrier.",roadway run smoothly scarps blocked thousand foot barrier, 
"Over it, beyond it, I could see through the crystalline clarity of the air the opposing walls.",beyond see crystalline clarity air opposing walls, 
"""We can climb it,"" Ventnor said.",climb ventnor, 
"We passed on and reached the base of the barrier.",passed reached base barrier, 
"An avalanche had dropped there; the barricade was the debris of the torn cliffs, their dust, their pebbles, their boulders.",avalanche dropped barricade debris torn cliffs dust pebbles boulders, 
"We toiled up; we reached the crest; we looked down upon the valley.",toiled reached crest looked valley, 
